DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,GETHOM,GETMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,OCUHOM,OCUMUJ
Huehuetenango,Soloma,Junio,2013.0,24.0,Octubre,Huehuetenango,Soloma,27.0,25.0,Indigena,Indigena,Guatemala,Guatemala,Básico,Primaria,Comerciantes de tiendas,Estudiante
Quetzaltenango,Quetzaltenango,Marzo,2013.0,17.0,Septiembre,Quetzaltenango,Quetzaltenango,29.0,29.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Abril,2012.0,13.0,Marzo,Guatemala,Guatemala,31.0,30.0,No indigena,Ignorado,Guatemala,Guatemala,Diversificado,Ignorado,Comerciantes de tiendas,Estudiante
El Progreso,Guastatoya,Abril,2012.0,20.0,Marzo,El Progreso,Guastatoya,31.0,24.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Octubre,2012.0,17.0,Mayo,Guatemala,Guatemala,35.0,27.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Marzo,2013.0,19.0,Diciembre,Guatemala,Guatemala,36.0,29.0,No indigena,Ignorado,Guatemala,Guatemala,Diversificado,Diversificado,Comerciantes de tiendas,Estudiante
Suchitepequez,Mazatenango,Noviembre,2012.0,23.0,Octubre,Suchitepequez,Mazatenango,41.0,Ignorado,No indigena,Ignorado,Guatemala,Guatemala,Diversificado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Octubre,2012.0,17.0,Julio,Sacatepequez,Antigua Guatemala,27.0,24.0,No indigena,Ignorado,Guatemala,Guatemala,Universitario,Ninguna,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Marzo,2013.0,4.0,Junio,Guatemala,Guatemala,28.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Comerciantes de tiendas,Estudiante
Totonicapan,Totonicapán,Abril,2012.0,23.0,Febrero,Totonicapan,Totonicapán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Quetzaltenango,Coatepeque,Diciembre,2012.0,26.0,Octubre,Quetzaltenango,Coatepeque,24.0,28.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Suchitepequez,Mazatenango,Enero,2013.0,2.0,Octubre,Suchitepequez,Mazatenango,32.0,19.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Peten,Flores,Marzo,2012.0,16.0,Enero,Peten,La Libertad,45.0,23.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Febrero,2013.0,25.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Febrero,2013.0,26.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Marzo,2013.0,24.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Mayo,2012.0,17.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Junio,2012.0,26.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Agosto,2012.0,3.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Agosto,2012.0,15.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Estados Unidos de América,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Septiembre,2012.0,18.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Septiembre,2012.0,21.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Octubre,2012.0,2.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Guatemala,Diciembre,2012.0,26.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Solola,Sololá,Julio,2012.0,17.0,Abril,Solola,Sololá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Quetzaltenango,Quetzaltenango,Junio,2012.0,18.0,Mayo,Quetzaltenango,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Retalhuleu,Champerico,Marzo,2012.0,9.0,Febrero,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Guatemala,Villa Nueva,Octubre,2012.0,12.0,Octubre,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Quetzaltenango,Quetzaltenango,Diciembre,2012.0,25.0,Octubre,Quetzaltenango,Coatepeque,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Comerciantes de tiendas,Estudiante
Totonicapan,San Cristóbal Totonicapán,Octubre,2012.0,20.0,Julio,Quetzaltenango,Quetzaltenango,37.0,38.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Demostradores de tiendas,Estudiante
Guatemala,Guatemala,Diciembre,2012.0,14.0,Febrero,Guatemala,Guatemala,36.0,34.0,No indigena,Ignorado,Guatemala,Guatemala,Diversificado,Ninguna,Vendedores no clasificados bajo otros epígrafes,Estudiante
Guatemala,Guatemala,Diciembre,2012.0,12.0,Octubre,Guatemala,Guatemala,29.0,Ignorado,No indigena,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Vendedores no clasificados bajo otros epígrafes,Estudiante
Guatemala,Guatemala,Junio,2012.0,13.0,Febrero,Guatemala,Mixco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Vendedores no clasificados bajo otros epígrafes,Estudiante
Guatemala,Guatemala,Abril,2012.0,8.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Vendedores no clasificados bajo otros epígrafes,Estudiante
Guatemala,Guatemala,Octubre,2012.0,10.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Vendedores no clasificados bajo otros epígrafes,Estudiante
Suchitepequez,Pueblo Nuevo,Septiembre,2012.0,20.0,Junio,Suchitepequez,Mazatenango,28.0,26.0,No indigena,No indigena,Guatemala,Guatemala,Básico,Básico,Policías,Estudiante
Guatemala,Mixco,Julio,2012.0,2.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Policías,Estudiante
Escuintla,Siquinalá,Septiembre,2012.0,13.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Policías,Estudiante
Santa Rosa,Barberena,Agosto,2012.0,4.0,Mayo,Santa Rosa,Cuilapa,19.0,22.0,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Santa Rosa,Barberena,Octubre,2012.0,4.0,Mayo,Santa Rosa,Cuilapa,19.0,22.0,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Escuintla,Palín,Abril,2013.0,3.0,Septiembre,Guatemala,Guatemala,29.0,27.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Quetzaltenango,Génova,Diciembre,2012.0,13.0,Septiembre,Quetzaltenango,Coatepeque,32.0,34.0,Indigena,Indigena,Guatemala,Guatemala,Ninguna,Básico,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Escuintla,Tiquisate,Junio,2012.0,3.0,Febrero,Suchitepequez,Mazatenango,43.0,19.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Baja Verapaz,Salamá,Junio,2012.0,20.0,Abril,Baja Verapaz,Salamá,50.0,43.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Sacatepequez,Antigua Guatemala,Noviembre,2012.0,31.0,Agosto,Guatemala,Guatemala,51.0,51.0,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Retalhuleu,Champerico,Octubre,2012.0,8.0,Junio,Retalhuleu,Retalhuleu,Ignorado,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Quiche,Chinique,Febrero,2012.0,3.0,Febrero,Quiche,Santa Cruz del Quiché,23.0,22.0,Indigena,Indigena,Guatemala,Guatemala,Primaria,Básico,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Quetzaltenango,Colomba,Septiembre,2012.0,16.0,Julio,Quetzaltenango,Coatepeque,32.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Básico,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Zacapa,Gualán,Mayo,2012.0,4.0,Mayo,El Progreso,Guastatoya,40.0,34.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Básico,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Santa Rosa,Guazacapán,Diciembre,2012.0,8.0,Noviembre,Jutiapa,Jutiapa,41.0,42.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Universitario,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Jutiapa,El Progreso,Julio,2012.0,18.0,Mayo,Jutiapa,Jutiapa,47.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Primaria,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Santa Rosa,Casillas,Septiembre,2012.0,6.0,Septiembre,Santa Rosa,Cuilapa,Ignorado,31.0,No indigena,Ignorado,Guatemala,Guatemala,Básico,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Baja Verapaz,Salamá,Febrero,2013.0,16.0,Noviembre,Baja Verapaz,Salamá,22.0,17.0,Ignorado,Ignorado,Guatemala,Guatemala,Básico,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Escuintla,Santa Lucía Cotzumalguapa,Agosto,2012.0,10.0,Julio,Escuintla,Santa Lucía Cotzumalguapa,20.0,22.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Suchitepequez,Mazatenango,Diciembre,2012.0,25.0,Octubre,Suchitepequez,Mazatenango,27.0,29.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Quetzaltenango,Coatepeque,Septiembre,2012.0,26.0,Junio,Quetzaltenango,Coatepeque,38.0,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Suchitepequez,Cuyotenango,Diciembre,2012.0,26.0,Septiembre,Suchitepequez,Mazatenango,40.0,Ignorado,Indigena,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Mixco,Febrero,2013.0,15.0,Mayo,Guatemala,Guatemala,41.0,28.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Guatemala,Enero,2013.0,12.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Guatemala,Junio,2012.0,10.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Guatemala,Junio,2012.0,23.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Villa Nueva,Diciembre,2012.0,14.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Chiquimula,Ipala,Abril,2012.0,21.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Escuintla,La Democracia,Septiembre,2012.0,10.0,Abril,Escuintla,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Fraijanes,Junio,2012.0,22.0,Febrero,Santa Rosa,Cuilapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Santa Rosa,Taxisco,Febrero,2013.0,13.0,Diciembre,Solola,Sololá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Suchitepequez,Mazatenango,Junio,2012.0,8.0,Mayo,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Alta Verapaz,Cobán,Abril,2013.0,14.0,Mayo,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Alta Verapaz,Tactic,Junio,2012.0,2.0,Marzo,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Izabal,Los Amates,Enero,2013.0,21.0,Diciembre,Chiquimula,Chiquimula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Jalapa,Jalapa,Abril,2013.0,26.0,Diciembre,Jalapa,Jalapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Jalapa,Jalapa,Diciembre,2012.0,17.0,Septiembre,Jalapa,Jalapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Jutiapa,Santa Catarina Mita,Junio,2012.0,11.0,Mayo,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Peten,San Benito,Noviembre,2012.0,17.0,Julio,Peten,San Benito,Ignorado,Ignorado,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Primaria,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Izabal,Los Amates,Abril,2012.0,23.0,Enero,Izabal,Los Amates,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Guatemala,Octubre,2012.0,13.0,Marzo,Guatemala,Mixco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,San Juan Sacatepéquez,Enero,2013.0,4.0,Octubre,Guatemala,San Juan Sacatepéquez,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Huehuetenango,La Democracia,Septiembre,2012.0,20.0,Agosto,Huehuetenango,La Democracia,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ninguna,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Peten,San Luis,Noviembre,2012.0,1.0,Octubre,Peten,Poptún,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Amatitlán,Marzo,2013.0,20.0,Julio,Guatemala,Amatitlán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Guatemala,Guatemala,Agosto,2012.0,4.0,Mayo,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Alta Verapaz,Tactic,Abril,2013.0,21.0,Septiembre,Alta Verapaz,Cobán,Ignorado,19.0,Indigena,Indigena,Guatemala,Guatemala,Ignorado,Básico,Agricultores y trabajadores calificados de cultivos extensivos,Estudiante
Jalapa,Jalapa,Agosto,2012.0,4.0,Junio,Jalapa,Jalapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",Estudiante
Guatemala,Villa Nueva,Enero,2012.0,3.0,Enero,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura,Estudiante
San Marcos,San Pedro Sacatepéquez,Febrero,2013.0,5.0,Noviembre,San Marcos,San Marcos,20.0,16.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Ignorado,Albañiles,Estudiante
Guatemala,Santa Catarina Pinula,Octubre,2012.0,20.0,Julio,Guatemala,Guatemala,23.0,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Primaria,Ignorado,Albañiles,Estudiante
Guatemala,Guatemala,Enero,2013.0,26.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Albañiles,Estudiante
Guatemala,Guatemala,Julio,2012.0,22.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Albañiles,Estudiante
Guatemala,Guatemala,Septiembre,2012.0,26.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Albañiles,Estudiante
Suchitepequez,Mazatenango,Noviembre,2012.0,18.0,Octubre,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Albañiles,Estudiante
Zacapa,Zacapa,Enero,2013.0,3.0,Diciembre,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Albañiles,Estudiante
Baja Verapaz,Salamá,Agosto,2012.0,27.0,Julio,Baja Verapaz,Salamá,22.0,20.0,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Básico,Carpinteros de armar y de obra blanca,Estudiante
Retalhuleu,Champerico,Enero,2013.0,10.0,Diciembre,Retalhuleu,Retalhuleu,33.0,28.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ninguna,Carpinteros de armar y de obra blanca,Estudiante
Guatemala,Guatemala,Enero,2013.0,2.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Carpinteros de armar y de obra blanca,Estudiante
Guatemala,Guatemala,Enero,2013.0,25.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Carpinteros de armar y de obra blanca,Estudiante
Jalapa,Jalapa,Noviembre,2012.0,29.0,Octubre,Jalapa,Jalapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Carpinteros de armar y de obra blanca,Estudiante
Quetzaltenango,Coatepeque,Enero,2013.0,24.0,Septiembre,Quetzaltenango,Coatepeque,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Carpinteros de armar y de obra blanca,Estudiante
Guatemala,Guatemala,Diciembre,2012.0,19.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Soldadores y oxicortadores,Estudiante
Guatemala,Mixco,Junio,2012.0,8.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ninguna,Herreros y forjadores,Estudiante
Guatemala,Guatemala,Septiembre,2012.0,10.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ninguna,Mecánicos y reparadores de vehículos de motor,Estudiante
San Marcos,El Tumbador,Octubre,2012.0,10.0,Septiembre,San Marcos,San Marcos,41.0,33.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Chimaltenango,Chimaltenango,Diciembre,2012.0,7.0,Noviembre,Chimaltenango,Chimaltenango,24.0,22.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Mecánicos y reparadores de vehículos de motor,Estudiante
Guatemala,Guatemala,Febrero,2013.0,20.0,Noviembre,Guatemala,Guatemala,33.0,23.0,Ignorado,No indigena,Guatemala,Guatemala,Diversificado,Básico,Mecánicos y reparadores de vehículos de motor,Estudiante
Guatemala,Guatemala,Junio,2012.0,7.0,Mayo,Guatemala,Mixco,29.0,30.0,No indigena,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Guatemala,Guatemala,Julio,2012.0,2.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Guatemala,Guatemala,Marzo,2012.0,19.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Escuintla,San José,Febrero,2013.0,13.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Quetzaltenango,Coatepeque,Junio,2012.0,18.0,Abril,Retalhuleu,Retalhuleu,Ignorado,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Zacapa,Zacapa,Junio,2012.0,6.0,Marzo,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Quetzaltenango,Quetzaltenango,Octubre,2012.0,10.0,Agosto,Quetzaltenango,Quetzaltenango,55.0,47.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Guatemala,Guatemala,Febrero,2012.0,17.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Guatemala,Guatemala,Julio,2012.0,17.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Mecánicos y reparadores de vehículos de motor,Estudiante
Guatemala,Villa Nueva,Marzo,2012.0,13.0,Febrero,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Artesanos no clasificados bajo otros epígrafes,Estudiante
Solola,Panajachel,Septiembre,2012.0,1.0,Agosto,Solola,Sololá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Artesanos no clasificados bajo otros epígrafes,Estudiante
Guatemala,Mixco,Junio,2012.0,2.0,Abril,Guatemala,Mixco,36.0,Ignorado,No indigena,Ignorado,Guatemala,Guatemala,Básico,Ignorado,"Cajistas, tipógrafos y afines",Estudiante
Guatemala,Guatemala,Agosto,2012.0,2.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ninguna,Encuadernadores y afines,Estudiante
Baja Verapaz,Salamá,Enero,2013.0,9.0,Octubre,Baja Verapaz,Salamá,40.0,Ignorado,No indigena,Ignorado,Guatemala,Guatemala,Primaria,Ignorado,Electricistas de obras y afines,Estudiante
Guatemala,Guatemala,Mayo,2012.0,2.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Electricistas de obras y afines,Estudiante
Guatemala,Guatemala,Mayo,2012.0,8.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Electricistas de obras y afines,Estudiante
Zacapa,Zacapa,Enero,2013.0,26.0,Octubre,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Electricistas de obras y afines,Estudiante
